Priority,Key,Store,Wine_Name,Location,Price,Wine_Sort,Wine_Origin,Grape_1,Grape_2,Grape_3,Acid,Sweet,Sparkling,Food_match
222,SG0120,신세계백화점,"럭스, 골드 브륏 NV","본점, 강남점, 센텀시티점",32000,화이트,스페인,사렐로,마카베오,빠렐라다,3,1,1,"F04, A01, B01, D02, F03"
223,EM0111,이마트몰,베린저 파운더스 에스테이스 까베르네 소비뇽,"가든5점, 가양점, 강릉점, 검단점, 경산점, 고잔점, 구미점, 군산점, 금정점, 김천점, 대전터미널점, 동구미점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 봉선점, 산본점, 서귀포점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신도림점, 신제주점, 안동점, 양산점, 양재점, 양주점, 여주점, 연수점, 영등포점, 오산점, 원주점, 월계점, 월배점, 의정부점, 이천점, 익산점, 자양점, 제주점, 중동점, 진주점, 천안점, 춘천점, 충주점, 칠성점, 통영점, 펜타포트점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점",37800,레드,미국,까베르네쇼비뇽,0,0,2,1,0,"B01, E01, A01"
224,SG0121,신세계백화점,샤또 시트랑 13,"마산점, 타임스퀘어점",48000,레드,프랑스,까베르네쇼비뇽,메를로,0,3,1,,"B01, C01, F01"
225,EM0112,이마트몰,라포스톨 달라멜 레세르바 까베르네쇼비뇽,"가든5점, 가양점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 목동점, 목포점, 문현점, 반야월점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 성서점, 성수점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월배점, 의왕점, 이천점, 익산점, 자양점, 창원점, 청주점, 충주점, 칠성점, 통영점, 파주점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점",19800,레드,칠레,까베르네쇼비뇽,0,0,1,1,,"B01, E01"
226,SG0122,신세계백화점,엠 샤푸티에 바케라스,"강남점, 경기점, 센텀시티점, 대구점",55000,레드,프랑스,그르나슈,무흐베드로,0,2,1,,"E03, F01, E02"
227,SG0123,신세계백화점,레이다 레세르바 피노누아,"강남점, 경기점, 센텀시티점, 대구점, 의정부점",24000,레드,칠레,피노누아,,,2,1,0,"C02, D01, G01"
228,SG0124,신세계백화점,펜폴즈 맥스 쉬라즈,"강남점, 경기점, 센텀시티점, 대구점",55000,레드,호주,쉬라즈,0,0,2,1,,"B02, C01, E02"
229,EM0113,이마트몰,엠 샤푸티에 라 시부아즈 뤼브롱,"가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 동구미점, 동백점, 동인천점, 동해점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 성서점, 성수점, 속초점, 수색점, 순천점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월배점, 의왕점, 이천점, 익산점, 자양점, 제주점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 청주점, 춘천점, 충주점, 통영점, 파주점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화정점",21200,레드,프랑스,그르나슈,0,0,3,1,,"E03, C02, F02"
230,SG0125,신세계백화점,"마이펫, 템프라니요","강남점, 경기점",25000,레드,스페인,템프라니요,0,0,3,1,0,"C02, E02"
231,EM0114,이마트몰,배비치 말보로 피노누아,"가든5점, 가양점, 금정점, 동백점, 동인천점, 마포점, 만촌점, 명일점, 목동점, 봉선점, 사상점, 산본점, 상봉점, 성수점, 속초점, 신도림점, 양산점, 양재점, 연제점, 영등포점, 의왕점, 의정부점, 진접점, 청주점, 펜타포트점, 평촌점, 평택점",35800,레드,뉴질랜드,피노누아,,,3,3,0,"C02, D01, G01, F02"
