Priority,Key,Store,Wine_Name,Location,Price,Wine_Sort,Wine_Origin,Grape_1,Grape_2,Grape_3,Acid,Sweet,Sparkling,Food_match
343,SG0197,신세계백화점,"도멘 베르나르 바이에뜨, 보졸레 블랑","강남점, 경기점",66000,화이트,프랑스,샤도네이,0,0,4,1,0,"B01, C01, F01, F03"
344,SG0198,신세계백화점,"안셀미, 카피텔리,베네토 375ml","강남점, 경기점",71000,화이트,이탈리아,가르가네가,0,0,3,5,,"F04, G02, D01"
345,EM0158,이마트몰,미안더 핑크 모스카토 275ml,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 금정점, 김해점, 동백점, 동인천점, 동해점, 마포점, 만촌점, 명일점, 목동점, 목포점, 반야월점, 별내점, 보라점, 봉선점, 사상점, 산본점, 상봉점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수지점, 순천점, 신도림점, 신제주점, 아산점, 안성점, 양산점, 양재점, 여수점, 연수점, 연제점, 영등포점, 오산점, 울산점, 월계점, 월배점, 의왕점, 자양점, 제주점, 중동점, 진주점, 창원점, 천안서북점, 청주점, 춘천점, 칠성점, 통영점, 파주점, 평촌점, 평택점, 포항점, 하월곡점, 해운대점, 화성봉담점, 화정점",2500,화이트,남아공,모스카토,,,2,2,0,"D02, F04, F04, G01, B01"
346,SG0199,신세계백화점,카이켄 울트라 말벡 750ML,본점,47000,레드,아르헨티나,말벡,까베르네소비뇽,0,2,1,,"B01, F01"
347,SG0200,신세계백화점,"찰스 하이직, 로제 리저브","강남점, 경기점",280000,화이트,프랑스,피노누아,샤도네이,피노뮈니에,3,1,,"B02, D02, F04, F03"
348,EM0159,이마트몰,산타크리스티나 피노그리지오,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신도림점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 춘천점, 충주점, 칠성점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",19800,레드,이탈리아,피노그리지오,0,0,3,2,,"E04, E02, F02"
349,EM0160,이마트몰,버블 넘버원 핑크라벨,"검단점, 경산점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 김천점, 대전터미널점, 동해점, 둔산점, 마산점, 마포점, 목포점, 반야월점, 별내점, 보라점, 봉선점, 사상점, 산본점, 상주점, 서산점, 성서점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양산점, 양주점, 여수점, 영천점, 오산점, 원주점, 의왕점, 이천점, 익산점, 자양점, 중동점, 진접점, 창원점, 천안서북점, 천안점, 충주점, 통영점, 파주점, 포천점, 포항점, 하남점, 화성봉담점",24800,화이트,프랑스,모작,슈냉블랑,샤도네이,5,2,1,"C01, D01, F01, B03, F03"
350,SG0201,신세계백화점,샹파뉴 로칠드 브뤼 750ML,"본점, 센텀시티점, 강남점, 타임스퀘어점, 경기점",200000,화이트,프랑스,샤도네이,피노누아,피노뮈니에,4,1,1,"B01, C01, F01, F03"
351,EM0161,이마트몰,산타캐롤리나 메를로 375,"가든5점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 상봉점, 상주점, 서산점, 성서점, 성수점, 속초점, 수색점, 수지점, 순천점, 신도림점, 아산점, 안동점, 안성점, 양재점, 양주점, 여수점, 여주점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 중동점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 춘천점, 충주점, 칠성점, 통영점, 파주점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 화성봉담점",6900,레드,칠레,메를로,0,0,1,1,,"C01, B02, F01"
352,EM0162,이마트몰,라포스톨 달라멜 레세르바 샤르도네,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동인천점, 동해점, 둔산점, 마산점, 만촌점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 성서점, 성수점, 세종점, 수색점, 신제주점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 진주점, 창원점, 천안서북점, 청주점, 춘천점, 충주점, 칠성점, 통영점, 파주점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화성봉담점, 화정점",19800,화이트,칠레,샤도네이,0,0,5,1,,"B01, C01, F01, A01"
353,SG0202,신세계백화점,아스코니 무스캇 아이스와인 레드라벨,"강남점, 경기점, 센텀시티점, 대구점",30000,화이트,몰도바,모스카토,,,2,5,0,"G01, G02"
354,SG0203,신세계백화점,미스팅게 로제,"마산점, 타임스퀘어점",30000,화이트,스페인,트레팟,0,0,3,2,,"E01, F04, B03, D02, F02"
355,EM0163,이마트몰,9 라이브즈 리저브 까버네쇼비뇽,"가양점, 강릉점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 만촌점, 명일점, 목포점, 반야월점, 보라점, 보령점, 봉선점, 사상점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 신제주점, 아산점, 안동점, 안성점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 울산점, 원주점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 중동점, 진접점, 창원점, 청주점, 충주점, 통영점, 파주점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하월곡점, 화정점",12800,레드,칠레,까베르네쇼비뇽,0,0,2,1,,"B01, E01"
356,EM0164,이마트몰,그래블리 포드 샤르도네,"가양점, 강릉점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 세종점, 속초점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 제주점, 중동점, 진접점, 천안서북점, 청주점, 춘천점, 충주점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화정점",24800,화이트,미국,샤도네이,0,0,3,1,,"B01, F02, G01, D02, F03"
357,EM0165,이마트몰,델리카토 날리헤드 올드바인 진판델,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동해점, 둔산점, 마산점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 아산점, 안동점, 안성점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 중동점, 진접점, 창원점, 천안서북점, 청주점, 춘천점, 충주점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 해운대점, 화정점",29800,레드,미국,진판델,0,0,3,2,,"B02, E04, F01"
358,EM0166,이마트몰,비네암 샤또 그랑 페랑 테르 아무레즈,"가든5점, 가양점, 강릉점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 서수원점, 성서점, 성수점, 속초점, 수색점, 수지점, 순천점, 신도림점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 중동점, 진접점, 천안서북점, 춘천점, 충주점, 칠성점, 통영점, 파주점, 평촌점, 포천점, 포항이동점, 포항점, 하남점, 화성봉담점, 화정점",22800,레드,프랑스,메를로,까베르네소비뇽,0,1,1,,C01
359,SG0204,신세계백화점,델리카토 날리헤드 올드바인 진판델,본점,54000,레드,미국,진판델,0,0,3,2,,"F02, E01, G01"
360,SG0205,신세계백화점,나파 셀라 피노누아,"강남점, 경기점, 센텀시티점, 대구점",65000,레드,미국,피노누아,0,0,3,1,,"C02, D01, G01"
361,SG0206,신세계백화점,콜롬비아크레스트 리저브 까베르네쇼비뇽 와토마 스프링스 빈야드,"강남점, 경기점, 의정부점, 마산점, 타임스퀘어점",75000,레드,미국,까베르네쇼비뇽,0,0,3,1,,"B01, E01, E04"
362,SG0207,신세계백화점,미켈레 끼아를로 바롤로 체레퀴오,"강남점, 경기점, 센텀시티점, 대구점",183000,레드,이탈리아,네비올로,,,2,1,0,"E04, E02"
363,SG0208,신세계백화점,까르민 데 페우모,"강남점, 경기점, 센텀시티점, 대구점",300000,레드,칠레,까르메네르,까베르네소비뇽,까베르네프랑,2,1,0,"F01, E02"
364,EM0167,이마트몰,콘차이토로 그란리제르바 까버네쇼비뇽,"가양점, 강릉점, 검단점, 경산점, 계양점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 김천점, 김해점, 대전터미널점, 동구미점, 동인천점, 동해점, 둔산점, 만촌점, 명일점, 목포점, 문현점, 반야월점, 보라점, 보령점, 봉선점, 사상점, 상봉점, 상주점, 서귀포점, 서산점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 신제주점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 연수점, 연제점, 영등포점, 영천점, 울산점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 제주점, 중동점, 진접점, 창원점, 천안서북점, 청주점, 충주점, 통영점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하월곡점, 해운대점, 화정점",33000,레드,칠레,까베르네쇼비뇽,0,0,1,1,,"B01, E01"
365,EM0168,이마트몰,라포스톨 그랑 셀렉션 멜롯,"가든5점, 가양점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 목동점, 목포점, 문현점, 반야월점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상주점, 서귀포점, 서산점, 성서점, 성수점, 세종점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 이천점, 익산점, 자양점, 진주점, 창원점, 청주점, 충주점, 칠성점, 통영점, 파주점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화성봉담점, 화정점",34800,레드,칠레,메를로,쉬라즈,쁘띠베르도,1,1,,"B02, C01, E03"
366,SG0209,신세계백화점,파이퍼 하이직 레어,"대구점, 경기점",480000,화이트,프랑스,샤도네이,피노누아,0,1,1,,"B01, G01, A01, F03, G02"
367,SG0210,신세계백화점,자불레 크로제 에르미타쥬 레 잘레 750ML,본점,38000,레드,프랑스,쉬라즈,,,3,1,0,"B02, C01, E01, F02"
368,SG0211,신세계백화점,메디치 에르메테 페르멘토,본점,50000,화이트,이탈리아,람부르스코 디 소르바라,0,0,3,1,,"F04, A01, D01, F03"
369,SG0212,신세계백화점,샤또 글로리아 2013,"마산점, 타임스퀘어점",95000,레드,프랑스,까베르네쇼비뇽,메를로,0,3,1,,"B01, C01, F01"
370,EM0169,이마트몰,에피카 소비뇽블랑,"가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 서수원점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 월계점, 월배점, 의왕점, 이천점, 익산점, 자양점, 제주점, 진접점, 진주점, 천안서북점, 청주점, 춘천점, 충주점, 통영점, 파주점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 해운대점, 화정점",14800,화이트,칠레,소비뇽블랑,0,0,4,1,,"B02, B03, C01, F01"
371,SG0213,신세계백화점,베린저 파운더스 카베르네 소비뇽,"강남점, 경기점, 센텀시티점, 대구점",29000,레드,미국,까베르네쇼비뇽,0,0,2,1,0,"B01, E01"
372,EM0170,이마트몰,스텀프점프 쉬라즈,"가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양재점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월배점, 의왕점, 이천점, 익산점, 자양점, 제주점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 춘천점, 충주점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화정점",14800,레드,호주,쉬라즈,0,0,1,1,,"B02, E03"
373,EM0171,이마트몰,얄리 와일드스완 멜롯,"가양점, 강릉점, 검단점, 경산점, 과천점, 광산점, 구미점, 군산점, 금정점, 김천점, 대전터미널점, 동구미점, 동백점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 상봉점, 상주점, 서산점, 성서점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여주점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 중동점, 진주점, 창원점, 천안점, 청주점, 충주점, 칠성점, 통영점, 파주점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화성봉담점",15800,레드,칠레,메를로,0,0,1,1,,"C01, E02"
374,SG0214,신세계백화점,멧츠로드 샤도네이,"강남점, 본점, 경기점, 의정부점, 광주점, 센텀시티점, 마산점, 타임스퀘어점, 대구점",39000,화이트,미국,샤도네이,0,0,4,1,,"B01, C01, F01, B03, F02"
375,SG0215,신세계백화점,시에라 칸따브리아 크리안자 1500ml,"강남점, 경기점, 의정부점, 광주점",43000,레드,스페인,템프라니요,0,0,3,1,,"C02, E02, G01"
376,EM0172,이마트몰,1865 까베르네 소비뇽 1.5L,"가든5점, 가양점, 강릉점, 경산점, 광명소하점, 구미점, 군산점, 김천점, 대전터미널점, 동구미점, 동해점, 둔산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 성수점, 세종점, 속초점, 수색점, 아산점, 안동점, 안성점, 양재점, 양주점, 여주점, 영등포점, 영천점, 오산점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 제주점, 진접점, 진주점, 천안서북점, 춘천점, 충주점, 통영점, 파주점, 펜타포트점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화정점",86000,레드,칠레,까베르네쇼비뇽,,,2,1,0,"B01, E01, E02"
377,SG0217,신세계백화점,샤또 무똥 로쉴드 09,"본점, 마산점",2266000,레드,프랑스,까베르네쇼비뇽,메를로,까베르네프랑,2,1,,"B01, C01, F01"
378,EM0173,이마트몰,라포스톨 그랑 셀렉션 소비뇽블랑,"강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 만촌점, 목동점, 목포점, 문현점, 반야월점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 성서점, 성수점, 세종점, 수색점, 신제주점, 아산점, 안동점, 안성점, 양산점, 양주점, 여수점, 여주점, 연제점, 영등포점, 영천점, 오산점, 원주점, 월계점, 월배점, 의왕점, 이천점, 익산점, 진주점, 창원점, 청주점, 충주점, 칠성점, 통영점, 파주점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화성봉담점",34800,화이트,칠레,소비뇽블랑,소비뇽그리,세미용,5,1,,"B02, B03, C01, F01, D01"
379,EM0174,이마트몰,카멜로드 몬테레이 샤도네이,"가든5점, 가양점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광산점, 구미점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 목동점, 목포점, 문현점, 반야월점, 보라점, 보령점, 봉선점, 사상점, 상주점, 서산점, 성서점, 성수점, 수색점, 수지점, 순천점, 아산점, 안동점, 안성점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 진접점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 충주점, 통영점, 파주점, 펜타포트점, 평촌점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화성봉담점",35000,화이트,미국,샤도네이,0,0,3,3,,"B01, E01, F02, G01, G02"
380,EM0175,이마트몰,라포데리나 로쏘 디 몬탈치노,"가든5점, 가양점, 강릉점, 경산점, 계양점, 고잔점, 과천점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 봉선점, 사상점, 산본점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 세종점, 속초점, 수색점, 수지점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 자양점, 중동점, 진주점, 창원점, 천안서북점, 청주점, 춘천점, 충주점, 칠성점, 통영점, 파주점, 펜타포트점, 평촌점, 포항이동점, 포항점, 하남점, 해운대점, 화성봉담점, 화정점",38000,레드,이탈리아,산지오베제,0,0,2,1,,"C02, D01, G01"
381,SG0218,신세계백화점,자불레 지공다스 삐에르 애기 750ML,본점,43000,레드,프랑스,그르나슈,쉬라즈,무흐베드르,3,1,0,"B02, E03, F01"
382,SG0219,신세계백화점,발비 소프라니 바롤로,본점,60000,레드,이탈리아,네비올로,,,2,1,0,"E04, B02, E04"
383,SG0220,신세계백화점,글로리오소 리오하 크리안자,"대구점, 경기점",80000,레드,스페인,템프라니요,,,1,1,0,"C02, E02, E04"
384,SG0221,신세계백화점,끌로뒤발 까베르네 쇼비뇽,본점,180000,레드,미국,까베르네쇼비뇽,까베르네프랑,메를로,2,1,,"B01, E01, F01"
385,SG0222,신세계백화점,트림바크 게브르츠트라미너,본점,60000,화이트,프랑스,게뷔르츠트라미너,0,0,3,1,0,"F04, A01, D01, F03"
386,SG0223,신세계백화점,카바이 샤르도네,"강남점, 본점, 센텀시티점",150000,화이트,슬로베니아,샤도네이,0,0,3,1,,"B01, F04, A01, F03"
387,EM0176,이마트몰,캐리커쳐,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 목동점, 목포점, 문현점, 반야월점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 서수원점, 성서점, 세종점, 속초점, 수색점, 수지점, 순천점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 의정부점, 이천점, 익산점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 춘천점, 충주점, 칠성점, 통영점, 파주점, 펜타포트점, 포천점, 포항이동점, 포항점, 하남점, 하월곡점, 화성봉담점, 화정점",28000,레드,미국,레드블렌딩,0,0,4,3,,"B01, E01, F01"
388,SG0224,신세계백화점,"램본, 진판델 2016","강남점, 경기점",280000,레드,미국,진판델,0,0,2,1,,"B02, C02"
389,SG0225,신세계백화점,"코폴라 와이너리, 디렉터스 컷 시네마","강남점, 경기점",150000,레드,미국,진판델,까베르네소비뇽,쁘띠쉬라,4,1,,"B02, C02"
390,EM0177,이마트몰,닥터 린드만 빈 45 까베르네 소비뇽,"가든5점, 가양점, 강릉점, 검단점, 계양점, 과천점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목동점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서산점, 성서점, 성수점, 세종점, 수색점, 수지점, 아산점, 안동점, 양산점, 양재점, 양주점, 여수점, 여주점, 연수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월배점, 의왕점, 이천점, 익산점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 천안점, 청주점, 충주점, 통영점, 파주점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 하남점, 해운대점, 화성봉담점, 화정점",12800,레드,호주,까베르네쇼비뇽,0,0,3,2,,"B01, E01, F02"
391,EM0178,이마트몰,엠 샤푸티에 빌라 오 블랑,"가든5점, 가양점, 강릉점, 검단점, 경산점, 계양점, 고잔점, 과천점, 광명소하점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 명일점, 목포점, 문현점, 반야월점, 별내점, 보라점, 보령점, 봉선점, 사상점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 수지점, 순천점, 신도림점, 아산점, 안동점, 안성점, 양산점, 양재점, 양주점, 여수점, 여주점, 영등포점, 영천점, 울산점, 원주점, 월계점, 월배점, 의왕점, 이천점, 익산점, 자양점, 제주점, 중동점, 진접점, 창원점, 천안서북점, 청주점, 춘천점, 충주점, 통영점, 파주점, 펜타포트점, 평택점, 포천점, 포항이동점, 포항점, 해운대점, 화정점",19200,화이트,프랑스,블랜딩,0,0,3,1,,"D02, F02, G01"
392,EM0179,이마트몰,그래블리 포드 피노누아,"검단점, 경산점, 계양점, 고잔점, 광명소하점, 광산점, 구미점, 군산점, 금정점, 김천점, 김해점, 대전터미널점, 동구미점, 동백점, 동인천점, 동해점, 둔산점, 마산점, 마포점, 만촌점, 목동점, 목포점, 문현점, 반야월점, 보라점, 보령점, 사상점, 산본점, 상봉점, 상주점, 서귀포점, 서산점, 서수원점, 성서점, 성수점, 세종점, 속초점, 수색점, 순천점, 신제주점, 아산점, 안동점, 안성점, 양주점, 여수점, 연제점, 영등포점, 영천점, 오산점, 울산점, 원주점, 월계점, 월배점, 의왕점, 이천점, 익산점, 자양점, 제주점, 중동점, 진접점, 진주점, 창원점, 천안서북점, 청주점, 춘천점, 충주점, 파주점, 펜타포트점, 평촌점, 평택점, 포천점, 포항이동점, 포항점, 해운대점, 화정점",24800,레드,미국,피노누아,0,0,3,1,,"C02, D01, G01"
393,SG0226,신세계백화점,만텔라시 푼톤 델 소로보 DOC,"강남점, 경기점, 센텀시티점",35000,레드,이탈리아,까베르네쇼비뇽,,,2,1,0,"B01, E01, E04"
394,SG0227,신세계백화점,샤또 테이시에 쌩떼밀리옹 그랑크뤼,"본점, 센텀시티점, 강남점",64000,레드,프랑스,메를로,까베르네프랑,0,2,1,0,"C01, F01, E03"
395,SG0228,신세계백화점,샤또 샤스 스플린 13,"센텀시티점, 본점, 마산점",93000,레드,프랑스,까베르네쇼비뇽,메를로,쁘띠베르도,2,1,,"B01, C01, F01"
396,SG0229,신세계백화점,샤또 라뚜르 뒤 팽 2008,"센텀시티점, 마산점",120000,레드,프랑스,까베르네쇼비뇽,까베르네프랑,0,2,1,,"B01, E01, F01"
